Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Order_Week,Customer_ID,Customer_Name,Customer_Label,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Order_Value,Order_Size,Payment_Method,Order_Status
O0051,2026-01-01,2026,1,January,1,Thursday,1,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,Medium,Net Banking,Delivered
O0091,2026-01-01,2026,1,January,1,Thursday,1,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Small,Credit Card,Delivered
O0022,2026-01-02,2026,1,January,2,Friday,1,C023,Nikhil Sood,Nikhil Sood (Premium),Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,Medium,Net Banking,Delivered
O0106,2026-01-02,2026,1,January,2,Friday,1,C001,Aarav Sharma,Aarav Sharma (Premium),Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,Small,Net Banking,Delivered
O0076,2026-01-03,2026,1,January,3,Saturday,1,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Small,Debit Card,Delivered
O0041,2026-01-04,2026,1,January,4,Sunday,1,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Bulk,Cash on Delivery,Delivered
O0108,2026-01-04,2026,1,January,4,Sunday,1,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Small,Net Banking,Delivered
O0018,2026-01-05,2026,1,January,5,Monday,2,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Medium,Net Banking,Cancelled
O0104,2026-01-05,2026,1,January,5,Monday,2,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Medium,Debit Card,Shipped
O0110,2026-01-05,2026,1,January,5,Monday,2,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Small,UPI,Delivered
O0028,2026-01-07,2026,1,January,7,Wednesday,2,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Medium,UPI,Delivered
O0056,2026-01-08,2026,1,January,8,Thursday,2,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P018,Football,Sports,SportZone,799,3,2397,Medium,Debit Card,Delivered
O0021,2026-01-09,2026,1,January,9,Friday,2,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,1,2499,Small,Debit Card,Cancelled
O0046,2026-01-09,2026,1,January,9,Friday,2,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Small,Cash on Delivery,Delivered
O0043,2026-01-10,2026,1,January,10,Saturday,2,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,4,2796,Medium,Net Banking,Delivered
O0027,2026-01-11,2026,1,January,11,Sunday,2,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Small,Cash on Delivery,Shipped
O0034,2026-01-13,2026,1,January,13,Tuesday,3,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,Bulk,Credit Card,Delivered
O0045,2026-01-14,2026,1,January,14,Wednesday,3,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,899,1,899,Small,Debit Card,Cancelled
O0029,2026-01-15,2026,1,January,15,Thursday,3,C005,Kabir Ali,Kabir Ali (New),Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Small,Cash on Delivery,Cancelled
O0112,2026-01-15,2026,1,January,15,Thursday,3,C012,Aisha Mir,Aisha Mir (Premium),Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,4,6396,Medium,UPI,Delivered
O0079,2026-01-16,2026,1,January,16,Friday,3,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Bulk,Debit Card,Delivered
O0094,2026-01-17,2026,1,January,17,Saturday,3,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,2499,4,9996,Medium,Net Banking,Cancelled
O0099,2026-01-17,2026,1,January,17,Saturday,3,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Small,UPI,Shipped
O0081,2026-01-19,2026,1,January,19,Monday,4,C022,Alina Shah,Alina Shah (New),Pune,West,New,P018,Football,Sports,SportZone,799,2,1598,Small,Credit Card,Delivered
O0102,2026-01-20,2026,1,January,20,Tuesday,4,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Medium,Credit Card,Shipped
O0071,2026-01-21,2026,1,January,21,Wednesday,4,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,1,599,Small,UPI,Delivered
O0120,2026-01-21,2026,1,January,21,Wednesday,4,C013,Rahul Das,Rahul Das (Regular),Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Small,Cash on Delivery,Cancelled
O0025,2026-01-22,2026,1,January,22,Thursday,4,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2999,2,5998,Small,Cash on Delivery,Cancelled
O0105,2026-01-22,2026,1,January,22,Thursday,4,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,4,2396,Medium,UPI,Delivered
O0115,2026-01-23,2026,1,January,23,Friday,4,C014,Sana Malik,Sana Malik (New),Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Small,Credit Card,Delivered
O0002,2026-01-25,2026,1,January,25,Sunday,4,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Small,Debit Card,Delivered
O0032,2026-01-25,2026,1,January,25,Sunday,4,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Small,Credit Card,Shipped
O0038,2026-01-25,2026,1,January,25,Sunday,4,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Small,Credit Card,Delivered
O0011,2026-01-26,2026,1,January,26,Monday,5,C022,Alina Shah,Alina Shah (New),Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Small,Net Banking,Cancelled
O0107,2026-01-26,2026,1,January,26,Monday,5,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Small,Cash on Delivery,Delivered
O0069,2026-01-27,2026,1,January,27,Tuesday,5,C028,Inaya Khan,Inaya Khan (Regular),Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,3299,4,13196,Medium,Debit Card,Delivered
O0084,2026-01-27,2026,1,January,27,Tuesday,5,C013,Rahul Das,Rahul Das (Regular),Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Medium,Credit Card,Delivered
O0026,2026-01-28,2026,1,January,28,Wednesday,5,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Small,UPI,Delivered
O0086,2026-01-28,2026,1,January,28,Wednesday,5,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,5,7995,Bulk,Debit Card,Delivered
O0042,2026-01-29,2026,1,January,29,Thursday,5,C012,Aisha Mir,Aisha Mir (Premium),Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Bulk,Net Banking,Delivered
O0054,2026-01-30,2026,1,January,30,Friday,5,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,2499,3,7497,Medium,Credit Card,Cancelled
O0064,2026-01-30,2026,1,January,30,Friday,5,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Medium,Credit Card,Cancelled
O0082,2026-01-30,2026,1,January,30,Friday,5,C014,Sana Malik,Sana Malik (New),Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Medium,Cash on Delivery,Delivered
O0088,2026-01-30,2026,1,January,30,Friday,5,C022,Alina Shah,Alina Shah (New),Pune,West,New,P008,Sneakers,Clothing,StepUp,2999,2,5998,Small,Debit Card,Cancelled
O0048,2026-02-02,2026,2,February,2,Monday,6,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Small,Debit Card,Cancelled
O0012,2026-02-03,2026,2,February,3,Tuesday,6,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Bulk,Credit Card,Delivered
O0040,2026-02-03,2026,2,February,3,Tuesday,6,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,Medium,Cash on Delivery,Delivered
O0098,2026-02-03,2026,2,February,3,Tuesday,6,C009,Arjun Nair,Arjun Nair (Regular),Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Small,Credit Card,Delivered
O0119,2026-02-03,2026,2,February,3,Tuesday,6,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Small,Debit Card,Delivered
O0023,2026-02-04,2026,2,February,4,Wednesday,6,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,749,3,2247,Medium,Debit Card,Delivered
O0058,2026-02-05,2026,2,February,5,Thursday,6,C029,Sameer Qureshi,Sameer Qureshi (New),Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,1199,5,5995,Bulk,UPI,Cancelled
O0066,2026-02-05,2026,2,February,5,Thursday,6,C004,Ananya Singh,Ananya Singh (Regular),Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Small,Debit Card,Cancelled
O0020,2026-02-06,2026,2,February,6,Friday,6,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Medium,Credit Card,Delivered
O0090,2026-02-07,2026,2,February,7,Saturday,6,C022,Alina Shah,Alina Shah (New),Pune,West,New,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Small,Cash on Delivery,Shipped
